Dates,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME,PX_VOLUME
1/16/2008,#N/A N/A,129877,801290,205759,394364,#N/A N/A,11368,972,#N/A N/A,31049,236,729124,958,12620,310839,16170,#N/A N/A,#N/A N/A,3408,283320,1220363,31522,107584,#N/A N/A,1460334,9300,12608,#N/A N/A,14690,2720,24400,2120325,27519,1163569,#N/A N/A,#N/A N/A,8409,#N/A N/A,34621,41326,#N/A N/A,173178,14313,81444,4131365,#N/A N/A,295530,356363,141358,51976,#N/A N/A,1752589,3362639,55361,#N/A N/A,#N/A N/A,307120,1305357,67192,862604,5617,#N/A N/A,#N/A N/A,228555,5885,1865048,6039,#N/A N/A,14224,#N/A N/A
1/17/2008,#N/A N/A,42212,825392,372838,311532,#N/A N/A,2020,1024,#N/A N/A,43523,2722,644292,18731,3641,168201,24345,#N/A N/A,#N/A N/A,304,252690,1934185,53351,104732,#N/A N/A,1299839,22498,2411,#N/A N/A,7490,23908,7555,1102140,11040,658018,#N/A N/A,#N/A N/A,21776,#N/A N/A,29021,52374,#N/A N/A,100098,8567,73120,2320063,#N/A N/A,108979,390459,168629,36921,#N/A N/A,1606883,5089577,48147,#N/A N/A,#N/A N/A,380636,1448856,53688,861601,9195,#N/A N/A,#N/A N/A,76623,128,1118766,3011,#N/A N/A,32001,#N/A N/A
1/18/2008,#N/A N/A,52784,656091,239500,317103,#N/A N/A,10,1024,#N/A N/A,52823,2041,570172,12861,12994,113339,73115,#N/A N/A,#N/A N/A,1076,120393,1045931,33492,125226,#N/A N/A,1631300,29627,17195,#N/A N/A,9475,17580,8934,1300672,29654,901354,#N/A N/A,#N/A N/A,98108,#N/A N/A,29638,19933,#N/A N/A,148946,27536,105578,1289992,#N/A N/A,149392,657000,218750,46815,#N/A N/A,1524846,4740390,112412,#N/A N/A,#N/A N/A,437348,839401,18665,1251416,19614,#N/A N/A,#N/A N/A,80067,12903,3069605,1426,#N/A N/A,22886,#N/A N/A
1/21/2008,#N/A N/A,97766,784852,160021,396182,#N/A N/A,19613,1134,#N/A N/A,79088,764,880457,6879,5447,333389,63205,#N/A N/A,#N/A N/A,20,166002,821485,50213,151651,#N/A N/A,1620273,11700,18947,#N/A N/A,25552,28936,16638,2226960,31504,957037,#N/A N/A,#N/A N/A,109218,#N/A N/A,50005,38458,#N/A N/A,264706,6870,52220,1486586,#N/A N/A,206908,217648,213745,145341,#N/A N/A,3016209,2224121,75780,#N/A N/A,#N/A N/A,346656,1128423,23362,707251,18781,#N/A N/A,#N/A N/A,166884,13145,2816605,8008,#N/A N/A,16983,#N/A N/A
1/22/2008,#N/A N/A,68069,991548,252677,774300,#N/A N/A,6451,1134,#N/A N/A,87372,1166,1470870,7179,20391,281068,54175,#N/A N/A,#N/A N/A,76,475623,768269,96588,191453,#N/A N/A,2367608,9540,7973,#N/A N/A,63504,85045,18234,2992982,20162,1211942,#N/A N/A,#N/A N/A,99633,#N/A N/A,161119,54953,#N/A N/A,178804,21955,115987,1486810,#N/A N/A,344537,247785,287925,71024,#N/A N/A,3067816,3211914,53388,#N/A N/A,#N/A N/A,616140,1720241,50011,1009776,13070,#N/A N/A,#N/A N/A,107127,5913,2915823,6664,#N/A N/A,15492,#N/A N/A
1/23/2008,#N/A N/A,51997,729370,337648,548883,#N/A N/A,1530,1000,#N/A N/A,97641,2574,913071,1171,10228,356700,39840,#N/A N/A,#N/A N/A,208,275187,1298076,64977,338449,#N/A N/A,1392915,1204,1085,#N/A N/A,28435,25167,47798,2119655,5253,1347089,#N/A N/A,#N/A N/A,55797,#N/A N/A,92769,48622,#N/A N/A,262548,44045,126802,1339962,#N/A N/A,281808,365806,215588,53881,#N/A N/A,1539749,2701876,70986,#N/A N/A,#N/A N/A,189704,1307075,31903,1058290,2306,#N/A N/A,#N/A N/A,57393,12989,3117174,2994,#N/A N/A,11623,#N/A N/A
1/24/2008,#N/A N/A,48578,749370,236410,424928,#N/A N/A,2463,1000,#N/A N/A,42841,528,865413,197,27548,110024,53360,#N/A N/A,#N/A N/A,980,364164,1118571,105879,242886,#N/A N/A,2087629,32817,2329,#N/A N/A,21950,2454,5646,1449302,7899,950815,#N/A N/A,#N/A N/A,75506,#N/A N/A,70258,33480,#N/A N/A,178086,37617,239114,923978,#N/A N/A,186252,178577,118072,70063,#N/A N/A,1167880,2774699,466861,#N/A N/A,#N/A N/A,191696,855551,23669,930145,13665,#N/A N/A,#N/A N/A,49545,15055,3039678,1069,#N/A N/A,8339,#N/A N/A
1/25/2008,#N/A N/A,27855,631642,79660,342689,#N/A N/A,26317,3828,#N/A N/A,44711,7250,617914,6666,29651,261718,118095,#N/A N/A,#N/A N/A,4030,373017,587257,33846,95296,#N/A N/A,2241065,84969,2687,#N/A N/A,28198,6206,12609,1461087,1139,1153335,#N/A N/A,#N/A N/A,23166,#N/A N/A,35258,73976,#N/A N/A,130112,40987,74335,1049191,#N/A N/A,158993,240595,112976,80435,#N/A N/A,1015001,1558838,130754,#N/A N/A,#N/A N/A,358124,664089,25447,1037183,2400,#N/A N/A,#N/A N/A,44262,18535,2155144,4939,#N/A N/A,9291,#N/A N/A
1/28/2008,#N/A N/A,24946,396262,194896,202811,#N/A N/A,611,2944,#N/A N/A,17147,2807,535804,1141,16116,132282,81435,#N/A N/A,#N/A N/A,1226,194289,765330,40363,390469,#N/A N/A,1504120,8987,1355,#N/A N/A,11442,5615,5498,1124127,1829,509412,#N/A N/A,#N/A N/A,5483,#N/A N/A,24446,43484,#N/A N/A,179484,11562,84854,667026,#N/A N/A,144970,110257,144619,79139,#N/A N/A,636531,1981442,27020,#N/A N/A,#N/A N/A,132688,505611,13242,695668,694,#N/A N/A,#N/A N/A,29370,1650,1395162,557,#N/A N/A,7209,#N/A N/A
1/29/2008,#N/A N/A,33456,549518,177992,220656,#N/A N/A,3774,2944,#N/A N/A,50478,1213,641452,3902,19419,93144,127210,#N/A N/A,#N/A N/A,1030,183189,1024217,56346,251559,#N/A N/A,2118927,17093,1500,#N/A N/A,12477,8420,496,894521,728,983522,#N/A N/A,#N/A N/A,20599,#N/A N/A,38556,30964,#N/A N/A,166726,17264,107472,732404,#N/A N/A,83406,102025,106644,145528,#N/A N/A,871667,1190475,49912,#N/A N/A,#N/A N/A,416516,539780,13536,1105415,2131,#N/A N/A,#N/A N/A,60018,25518,1714605,9771,#N/A N/A,10105,#N/A N/A
1/30/2008,#N/A N/A,30589,473991,61280,180105,#N/A N/A,4535,2944,#N/A N/A,17466,994,573948,5459,3861,63187,138575,#N/A N/A,#N/A N/A,852,312411,986949,30928,265712,#N/A N/A,1177082,31975,2156,#N/A N/A,27372,1050,7839,592834,3544,554720,#N/A N/A,#N/A N/A,2757,#N/A N/A,39898,34382,#N/A N/A,97770,7416,108694,658145,#N/A N/A,70503,97744,58820,273200,#N/A N/A,604010,894641,3900,#N/A N/A,#N/A N/A,397896,355076,13990,365691,300,#N/A N/A,#N/A N/A,93372,22110,935464,543,#N/A N/A,6988,#N/A N/A
1/31/2008,#N/A N/A,28721,385861,264208,222488,#N/A N/A,25665,600,#N/A N/A,47131,2277,487100,941,14925,32459,52365,#N/A N/A,#N/A N/A,852,243150,857069,30700,243627,#N/A N/A,1185148,21863,504,#N/A N/A,17161,78231,9241,866832,3151,729100,#N/A N/A,#N/A N/A,54478,#N/A N/A,26717,34002,#N/A N/A,125428,15209,89810,757747,#N/A N/A,154019,117219,137722,54078,#N/A N/A,937499,1707990,209479,#N/A N/A,#N/A N/A,346652,506473,52848,564263,1281,#N/A N/A,#N/A N/A,73572,17439,1341409,2690,#N/A N/A,12057,#N/A N/A
2/1/2008,#N/A N/A,40123,459057,186685,237509,#N/A N/A,18370,600,#N/A N/A,231325,1074,788667,1744,6161,74549,14145,#N/A N/A,#N/A N/A,470,232269,919743,42140,149871,#N/A N/A,2029197,26990,6979,#N/A N/A,14509,24875,3733,1110458,359,673791,#N/A N/A,#N/A N/A,92782,#N/A N/A,33026,23661,#N/A N/A,152010,11301,146966,831264,#N/A N/A,114967,99921,128387,62474,#N/A N/A,1522624,1417470,10386,#N/A N/A,#N/A N/A,481292,898120,10802,643462,12935,#N/A N/A,#N/A N/A,215745,199760,962815,7126,#N/A N/A,14512,#N/A N/A
2/4/2008,#N/A N/A,58286,448972,129531,345940,#N/A N/A,1403,600,#N/A N/A,70626,156,581679,36228,10497,105190,45785,#N/A N/A,#N/A N/A,470,222570,726615,33245,168662,#N/A N/A,980795,21318,3240,#N/A N/A,12445,21212,8542,761103,17549,535307,#N/A N/A,#N/A N/A,15327,#N/A N/A,15927,11465,#N/A N/A,74190,12447,110851,455131,#N/A N/A,110579,70071,125047,23150,#N/A N/A,872261,1782692,6016,#N/A N/A,#N/A N/A,189496,328395,90318,684940,14233,#N/A N/A,#N/A N/A,117807,49265,776928,7134,#N/A N/A,9646,#N/A N/A
2/5/2008,#N/A N/A,61210,368386,149041,471253,#N/A N/A,22024,600,#N/A N/A,52850,555,664162,7365,7312,138601,66160,#N/A N/A,#N/A N/A,810,355233,641955,33279,223285,#N/A N/A,1459737,14616,2828,#N/A N/A,22589,21045,9992,1202055,1826,628052,#N/A N/A,#N/A N/A,17846,#N/A N/A,28584,16179,#N/A N/A,120734,7216,185701,756453,#N/A N/A,103576,105516,141577,10769,#N/A N/A,1401131,6937721,14951,#N/A N/A,#N/A N/A,455136,481075,9909,600656,4079,#N/A N/A,#N/A N/A,107250,152242,1226577,5967,#N/A N/A,8645,#N/A N/A
2/6/2008,#N/A N/A,40137,631844,40971,294633,#N/A N/A,10,32,#N/A N/A,19100,555,799673,19448,8638,101313,89650,#N/A N/A,#N/A N/A,20,99384,1473103,68295,80289,#N/A N/A,1308852,5620,2289,#N/A N/A,11224,4834,14247,990084,1923,680194,#N/A N/A,#N/A N/A,28414,#N/A N/A,22033,8263,#N/A N/A,155652,5528,111920,699781,#N/A N/A,79201,93780,227674,55471,#N/A N/A,841488,4043349,8023,#N/A N/A,#N/A N/A,266408,505515,4037,680260,1225,#N/A N/A,#N/A N/A,162951,169396,1412956,630,#N/A N/A,6807,#N/A N/A
2/7/2008,#N/A N/A,38016,488872,87469,257864,#N/A N/A,7639,32,#N/A N/A,40005,2394,833719,19132,10823,34602,36685,#N/A N/A,#N/A N/A,20,200718,1030687,22327,198766,#N/A N/A,697885,4557,3197,#N/A N/A,19731,12442,9440,963849,665,428604,#N/A N/A,#N/A N/A,15460,#N/A N/A,54032,11432,#N/A N/A,90638,5422,142599,752086,#N/A N/A,66234,81833,355760,75425,#N/A N/A,639317,2408355,3725,#N/A N/A,#N/A N/A,250716,678790,10502,458352,3125,#N/A N/A,#N/A N/A,60192,177598,1894407,18674,#N/A N/A,5841,#N/A N/A
2/8/2008,#N/A N/A,23037,391056,92337,187925,#N/A N/A,7639,32,#N/A N/A,19986,829,747816,825,8117,61611,7150,#N/A N/A,#N/A N/A,20,97266,663985,14471,86511,#N/A N/A,603820,5000,1913,#N/A N/A,2750,17733,24277,444530,933,325719,#N/A N/A,#N/A N/A,48883,#N/A N/A,22763,16945,#N/A N/A,98330,8901,156815,387481,#N/A N/A,48037,64939,82227,891374,#N/A N/A,846231,1902028,7000,#N/A N/A,#N/A N/A,120232,581857,14352,345080,500,#N/A N/A,#N/A N/A,63162,126830,853721,2917,#N/A N/A,8682,#N/A N/A
2/11/2008,#N/A N/A,9185,363560,53145,756572,#N/A N/A,234,300,#N/A N/A,14251,889,392975,11111,12642,56942,72990,#N/A N/A,#N/A N/A,20,150213,521342,23945,68310,#N/A N/A,818664,10117,60,#N/A N/A,13205,3691,44578,489186,7906,191920,#N/A N/A,#N/A N/A,33090,#N/A N/A,13561,25729,#N/A N/A,54880,9503,148339,352776,#N/A N/A,35224,58370,85370,26180,#N/A N/A,464572,1322290,20800,#N/A N/A,#N/A N/A,102352,856305,8187,308683,3590,#N/A N/A,#N/A N/A,61029,16005,1427777,3662,#N/A N/A,13563,#N/A N/A
2/12/2008,#N/A N/A,20731,840333,115864,742743,#N/A N/A,19299,5,#N/A N/A,55041,489,764236,3765,8044,86623,2450,#N/A N/A,#N/A N/A,20,328626,964948,38799,113471,#N/A N/A,1399655,12032,18734,#N/A N/A,15124,13092,12864,798445,11628,598945,#N/A N/A,#N/A N/A,84231,#N/A N/A,45553,16671,#N/A N/A,102806,8294,99807,1082147,#N/A N/A,105609,48329,245883,24327,#N/A N/A,816294,1662630,100037,#N/A N/A,#N/A N/A,381316,919474,15803,633972,585,#N/A N/A,#N/A N/A,79506,2750,1679873,3662,#N/A N/A,6487,#N/A N/A
2/13/2008,#N/A N/A,22190,779781,80336,503644,#N/A N/A,4182,95,#N/A N/A,42673,100,509800,521,9227,101914,41335,#N/A N/A,#N/A N/A,800,189390,794779,23610,108708,#N/A N/A,1180479,47216,193,#N/A N/A,6901,10061,45153,818261,15019,649043,#N/A N/A,#N/A N/A,37893,#N/A N/A,24041,22561,#N/A N/A,121062,4104,96423,726438,#N/A N/A,62690,42745,109172,11934,#N/A N/A,631814,1633400,7561,#N/A N/A,#N/A N/A,188544,628695,48249,490982,8555,#N/A N/A,#N/A N/A,68928,44253,1738417,1000,#N/A N/A,14622,#N/A N/A
2/14/2008,#N/A N/A,39439,508725,63438,536361,#N/A N/A,6345,95,#N/A N/A,93962,2820,702756,6060,7315,321669,88140,#N/A N/A,#N/A N/A,730,159096,711811,80393,101559,#N/A N/A,1300345,1000,1335,#N/A N/A,34851,5309,9557,664149,2687,440823,#N/A N/A,#N/A N/A,40647,#N/A N/A,52900,27116,#N/A N/A,180414,5435,86263,513648,#N/A N/A,68272,127562,77611,15954,#N/A N/A,712012,1939906,7139,#N/A N/A,#N/A N/A,77916,536650,17729,573262,39323,#N/A N/A,#N/A N/A,42537,20075,1182296,500,#N/A N/A,13365,#N/A N/A
2/15/2008,#N/A N/A,25720,456763,84537,520187,#N/A N/A,2499,95,#N/A N/A,62716,44,514700,2982,5031,283626,124580,#N/A N/A,#N/A N/A,730,231003,911909,14932,104588,#N/A N/A,800638,17437,3225,#N/A N/A,5632,2125,13150,1047507,4801,487660,#N/A N/A,#N/A N/A,39637,#N/A N/A,25114,16762,#N/A N/A,85832,4230,96663,523912,#N/A N/A,64654,68397,61706,23424,#N/A N/A,956812,1476324,14110,#N/A N/A,#N/A N/A,195232,274210,4736,412930,2212,#N/A N/A,#N/A N/A,51006,27394,1210985,101,#N/A N/A,9756,#N/A N/A
2/18/2008,#N/A N/A,32879,383890,88145,251995,#N/A N/A,2091,95,#N/A N/A,33532,667,422002,1871,7029,70601,109675,#N/A N/A,#N/A N/A,40,145089,360390,10768,148809,#N/A N/A,760831,9298,1361,#N/A N/A,5327,21095,8197,483745,1172,258326,#N/A N/A,#N/A N/A,86918,#N/A N/A,22048,15331,#N/A N/A,96772,13066,112637,411130,#N/A N/A,60426,63144,63811,82608,#N/A N/A,456515,876064,30358,#N/A N/A,#N/A N/A,256580,357009,1208,206669,15409,#N/A N/A,#N/A N/A,33753,40216,576047,1660,#N/A N/A,5369,#N/A N/A
2/19/2008,#N/A N/A,25176,777779,31796,338769,#N/A N/A,1989,95,#N/A N/A,144864,667,417573,6794,4458,98786,115165,#N/A N/A,#N/A N/A,200,95193,408673,13654,131574,#N/A N/A,975069,6096,1043,#N/A N/A,5291,24572,4409,516744,1167,1452557,#N/A N/A,#N/A N/A,19310,#N/A N/A,16558,10430,#N/A N/A,149162,4978,85265,697984,#N/A N/A,102407,25128,57308,3678,#N/A N/A,625111,1653213,17950,#N/A N/A,#N/A N/A,126496,461869,3078,338072,5733,#N/A N/A,#N/A N/A,18543,14647,2144668,775,#N/A N/A,7598,#N/A N/A
2/20/2008,#N/A N/A,25699,400037,46582,793130,#N/A N/A,1989,150,#N/A N/A,76475,4035,342160,1203,8873,56764,80785,#N/A N/A,#N/A N/A,200,138537,475081,14653,93675,#N/A N/A,1211610,20864,1848,#N/A N/A,3324,34124,1111,543302,814,1045567,#N/A N/A,#N/A N/A,18073,#N/A N/A,26237,16876,#N/A N/A,58940,9782,90526,405199,#N/A N/A,90443,30995,96906,28840,#N/A N/A,627027,888852,131238,#N/A N/A,#N/A N/A,36228,566550,18860,560634,24721,#N/A N/A,#N/A N/A,84936,81840,1206202,1888,#N/A N/A,16277,#N/A N/A
2/21/2008,#N/A N/A,42854,440443,48162,341122,#N/A N/A,1989,1048,#N/A N/A,52664,4035,798568,2520,6823,51300,36425,#N/A N/A,#N/A N/A,200,229851,717633,4442,126728,#N/A N/A,1251120,27122,1358,#N/A N/A,10338,35373,1603,541585,3822,946316,#N/A N/A,#N/A N/A,12864,#N/A N/A,123594,7517,#N/A N/A,51552,6550,91076,590160,#N/A N/A,60724,26818,68169,4166,#N/A N/A,986271,1589848,21907,#N/A N/A,#N/A N/A,54548,358122,7347,543661,5420,#N/A N/A,#N/A N/A,37248,154385,809198,733,#N/A N/A,17970,#N/A N/A
2/22/2008,#N/A N/A,30344,353444,108552,281136,#N/A N/A,1928,1300,#N/A N/A,28470,437,407912,12204,2886,37126,82090,#N/A N/A,#N/A N/A,50,77229,355134,14540,80738,#N/A N/A,676058,11162,4602,#N/A N/A,4149,9584,2171,639166,46,591576,#N/A N/A,#N/A N/A,20449,#N/A N/A,69904,9208,#N/A N/A,54174,116269,89680,407975,#N/A N/A,63851,37132,58629,12630,#N/A N/A,1328395,1365771,8834,#N/A N/A,#N/A N/A,37612,298143,265984,365461,6255,#N/A N/A,#N/A N/A,36636,55463,690785,81,#N/A N/A,20845,#N/A N/A
2/25/2008,#N/A N/A,44137,503015,97660,295638,#N/A N/A,663,1300,#N/A N/A,47878,437,481876,10195,2799,41741,49740,#N/A N/A,#N/A N/A,400,69654,696468,8540,133613,#N/A N/A,725010,4162,13652,#N/A N/A,20668,33585,9570,624102,944,756767,#N/A N/A,#N/A N/A,4602,#N/A N/A,52588,4181,#N/A N/A,161144,3688,114094,443790,#N/A N/A,60589,105247,93214,91823,#N/A N/A,504865,1454899,2461,#N/A N/A,#N/A N/A,82420,191915,123643,521176,24909,#N/A N/A,#N/A N/A,46323,15675,643329,14380,#N/A N/A,9496,#N/A N/A
2/26/2008,#N/A N/A,65486,415169,89356,409350,#N/A N/A,663,1300,#N/A N/A,31821,5074,458596,2107,7199,79449,42770,#N/A N/A,#N/A N/A,2800,183822,746057,17212,48488,#N/A N/A,862951,31874,2425,#N/A N/A,10323,6531,24447,515966,7904,742509,#N/A N/A,#N/A N/A,16880,#N/A N/A,18660,12788,#N/A N/A,177516,19680,139555,454803,#N/A N/A,71311,32108,55394,17994,#N/A N/A,486033,1146017,43669,#N/A N/A,#N/A N/A,63388,458145,45986,333806,45686,#N/A N/A,#N/A N/A,114039,28828,923724,945,#N/A N/A,8831,#N/A N/A
