Code,J:TYMO(P)~U$,J:TTMO(P)~U$,J:SFTB(P)~U$,J:NTT(P)~U$,J:SO@N(P)~U$,J:CP@N(P)~U$,J:DDIC(P)~U$,J:TA@N(P)~U$,J:D@SA(P)~U$,J:MITF(P)~U$,J:RETA(P)~U$,J:HO@N(P)~U$,J:RHCL(P)~U$,J:UC@N(P)~U$,J:KA@N(P)~U$,J:ABOT(P)~U$,J:SMFI(P)~U$,J:DA@N(P)~U$,J:RG@N(P)~U$,J:YP@N(P)~U$,J:JRCE(P)~U$,J:JPHC(P)~U$,J:ITCN(P)~U$,J:ZJ@N(P)~U$,J:SEVI(P)~U$,J:MIHO(P)~U$,J:CN@N(P)~U$,J:EAJR(P)~U$,J:DU@N(P)~U$,J:HC@N(P)~U$,J:UM@N(P)~U$,J:MIZH(P)~U$,J:SHDO(P)~U$,J:DE@N(P)~U$,J:FP@N(P)~U$,J:SNET(P)~U$,J:TERU(P)~U$,J:BR@N(P)~U$,J:ES@N(P)~U$,J:ME@N(P)~U$,J:MT@N(P)~U$,J:OTHD(P)~U$,J:FT@N(P)~U$,J:CQ@N(P)~U$,J:OLYC(P)~U$,J:KP@N(P)~U$,J:JT@N(P)~U$,J:KB@N(P)~U$,J:KM@N(P)~U$,J:NM@N(P)~U$,J:MI@N(P)~U$,J:YHOO(P)~U$,J:ASBR(P)~U$,J:DALF(P)~U$,J:DH@N(P)~U$,J:MIFU(P)~U$,J:MSAD(P)~U$,J:NR@N(P)~U$,J:SQ@N(P)~U$,J:FJ@N(P)~U$,J:IX@N(P)~U$,J:JXHO(P)~U$,J:KU@N(P)~U$,J:KH@N(P)~U$,J:COMM(P)~U$,J:RAKT(P)~U$,J:NKSJ(P)~U$,J:UJ@N(P)~U$,J:CK@N(P)~U$,J:WJR(P)~U$,J:AB@N(P)~U$,J:AJ@N(P)~U$,J:AC@N(P)~U$,J:N@MB(P)~U$,J:CL@N(P)~U$,J:KE@N(P)~U$,J:MEJH(P)~U$,J:NJ@N(P)~U$,J:NSSM(P)~U$,J:OMRN(P)~U$,J:SE@N(P)~U$,J:SUEL(P)~U$,J:SMTH(P)~U$,J:TD@N(P)~U$,J:TZ@N(P)~U$,J:JR@N(P)~U$,J:ANAW(P)~U$,J:DP@N(P)~U$,J:FAMA(P)~U$,J:IDKO(P)~U$,J:INPX(P)~U$,J:KTEL(P)~U$,J:KN@N(P)~U$,J:MRBU(P)~U$,J:IA@N(P)~U$,J:MCHC(P)~U$,J:MH@N(P)~U$,J:IF@N(P)~U$,J:VF@N(P)~U$,J:OQ@N(P)~U$,J:DBHI(P)~U$,J:SFH(P)~U$,J:EM@N(P)~U$,J:TC@N(P)~U$,J:RY@N(P)~U$,J:TRAY(P)~U$,J:TYTS(P)~U$,J:REND(P)~U$,J:IN@N(P)~U$,J:OJ@N(P)~U$,J:YE@N(P)~U$,J:AG@N(P)~U$,J:AL@N(P)~U$,J:AM@N(P)~U$,J:AOZR(P)~U$,J:CC@N(P)~U$,J:CHBK(P)~U$,J:CHOC(P)~U$,J:CONF(P)~U$,J:SECR(P)~U$,J:CYBA(P)~U$,J:DS@N(P)~U$,J:DENA(P)~U$,J:EC@N(P)~U$,J:DENN(P)~U$,J:EQ@N(P)~U$,J:DM@N(P)~U$,J:EB@N(P)~U$,J:FECL(P)~U$,J:FUKU(P)~U$,J:FU@N(P)~U$,J:GSYU(P)~U$,J:AQ@N(P)~U$,J:OM@N(P)~U$,J:HTCM(P)~U$,J:IH@N(P)~U$,J:ZW@N(P)~U$,J:IM@N(P)~U$,J:MZYA(P)~U$,J:JFEH(P)~U$,J:JGCC(P)~U$,J:OE@N(P)~U$,J:KC@N(P)~U$,J:KW@N(P)~U$,J:KK@N(P)~U$,J:KSER(P)~U$,J:BS@N(P)~U$,J:KONA(P)~U$,J:KONM(P)~U$,J:RK@N(P)~U$,J:MNIC(P)~U$,J:UI@N(P)~U$,J:MASU(P)~U$,J:KO@N(P)~U$,J:JZ@N(P)~U$,J:LM@N(P)~U$,J:MMOT(P)~U$,J:PC@N(P)~U$,J:MO@N(P)~U$,J:KI@N(P)~U$,J:FY@N(P)~U$,J:RZ@N(P)~U$,J:OU@N(P)~U$,J:LO@N(P)~U$,J:NX@N(P)~U$,J:NU@N(P)~U$,J:NPIC(P)~U$,J:NS@N(P)~U$,J:NY@N(P)~U$,J:NH@N(P)~U$,J:BO@N(P)~U$,J:NIBO(P)~U$,J:NSKC(P)~U$,J:OB@N(P)~U$,J:OJIH(P)~U$,J:OUMA(P)~U$,J:RH@N(P)~U$,J:PB@N(P)~U$,J:EP@N(P)~U$,J:SEEP(P)~U$,J:SZ@N(P)~U$,J:SHBA(P)~U$,J:ZB@N(P)~U$,J:SW@N(P)~U$,J:SKYP(P)~U$,J:NIIW(P)~U$,J:UMCO(P)~U$,J:SC@N(P)~U$,J:DPPH(P)~U$,J:OZ@N(P)~U$,J:ZC@N(P)~U$,J:TADH(P)~U$,J:OC@N(P)~U$,J:GO@N(P)~U$,J:TU@N(P)~U$,J:TKOS(P)~U$,J:TJ@N(P)~U$,J:TOHO(P)~U$,J:EL@N(P)~U$,J:TOSO(P)~U$,J:TE@N(P)~U$,J:JQ@N(P)~U$,J:TFUD(P)~U$,J:PT@N(P)~U$,J:TSHC(P)~U$,J:TOTO(P)~U$,J:TOYS(P)~U$,J:UBEI(P)~U$,J:YM@N(P)~U$,J:XE@N(P)~U$,J:YORU(P)~U$,J:CW@N(P)~U$,J:GG@N(P)~U$,J:HTZZ(P)~U$,J:JW@N(P)~U$,J:MISH(P)~U$,J:MG@N(P)~U$,J:NIPM(P)~U$,J:SG@N(P)~U$,J:NTN(P)~U$,J:OK@N(P)~U$,J:FZ@N(P)~U$,J:GC@N(P)~U$,J:TOBO(P)~U$,J:UNIT(P)~U$
6/3/2016,53.16,25.69,28.2,22.05,28.78,35.08,29.51,43.34,23.39,4.98,282.14,27.75,11.69,57.48,55.71,41.53,31.95,84.03,73.9,14.06,177.7,13,12.4,17.86,44.05,34.65,29.2,91.57,151.56,23.02,12.14,1.58,26.82,38.63,40.49,16.02,21.61,34.31,59.57,19.17,12.06,42.19,39.16,49.11,10.48,78.53,15.62,17.16,17.66,4.25,9.03,4.81,34.24,12.98,29.57,24.56,28.58,10.1,55.81,36.99,26.45,3.98,14.79,18.28,10.36,10.82,27.75,10.05,27.74,64.25,10.98,23.9,6.51,25.63,13.47,9.39,93.49,23.51,19.4,31.38,17.74,14.66,34.9,56.67,19.61,17.2,28.89,20.76,14.12,20.88,8.12,43.74,36.49,4.76,7.86,5.02,40.34,64.58,21.69,18.83,3.77,12.51,20.17,38.12,25.71,8.83,22.56,35.69,29.88,20.72,12.36,29.65,20.07,11.17,34,15.29,5.19,16.73,4.55,19.38,24.5,5.81,20.92,21.69,51.52,23.42,29.65,25.2,20.42,17.99,24.45,21.22,10.9,10.32,15.5,25.67,9.59,12.03,11.54,13.21,15.03,13.36,13.73,30.44,21.73,26.51,8.99,36.91,8.32,13.35,26.04,14.92,8.94,17,27.52,27.82,5.32,18.97,22.76,21.75,45.96,17.59,14.44,23.75,42.71,10.3,18.12,6.05,19.02,28.85,16.98,10.14,8.8,10.6,4.09,37.28,8.74,27.26,49.32,17.71,8.99,15.36,7.48,10.58,4.93,2.27,6.93,4.53,15.41,23.98,41.12,9.7,25.95,10.58,8.94,14.14,17.61,27.95,2.88,12.65,4.52,12.61,6.78,18.28,10.12,39.58,20.97,18.27,17.24,10.85,15.09,5.59,5.25,5.24,21.78,15.27,17.33,2.02,8.24,3.32,14.33,30.07,32.88,18.64,5.81
6/6/2016,52.83,25.91,28.4,22.1,28.76,35.28,29.41,42.97,23.24,4.88,280.49,27.1,11.51,57.4,54.92,41.78,31.26,82.88,74.1,13.9,177.39,12.82,12.27,17.87,43.67,33.48,29.1,92.34,149.99,22.94,12.03,1.55,26.24,37.49,39.7,15.78,21.51,33.96,58.9,18.9,11.91,43.02,38.83,48.57,10.27,77.67,15.46,17,17.5,4.14,8.81,4.88,33.31,12.46,28.96,24.37,28.07,9.92,55.12,36.76,25.7,3.98,14.55,18.22,10.2,10.81,27.12,9.83,27.44,64.6,10.91,23.76,6.48,25.64,13.59,9.55,95.27,23.3,19.78,30.48,17.59,14.43,33.76,55.93,20.15,17.28,28.78,20.41,13.94,20.94,7.89,44.05,36.31,4.68,7.7,4.94,39.63,65.02,21.96,18.8,3.71,12.44,21.17,38.31,25.68,8.8,21.95,34.96,29.27,20.97,12.17,29.27,20.13,10.79,33.65,15.22,5.02,16.41,4.39,18.88,24.75,5.64,21.17,21.53,50.52,23.4,29.74,25.12,20.32,17.34,24.33,21.11,10.75,10.17,15.11,24.89,9.61,12.03,11.47,13.67,14.86,12.97,12.94,29.55,21.63,27.24,9.14,37.29,8.22,13.22,26.44,14.89,8.62,16.66,27.16,27.69,5.29,18.69,22.28,21.87,46.07,17.45,14.23,23.54,42.32,10.34,18.03,5.97,18.92,28.76,16.82,9.94,8.57,10.26,4.05,36.26,8.59,27.17,48.75,17.44,9,15.01,7.3,10.35,4.88,2.35,6.73,4.49,15.45,23.54,40.27,9.49,25.54,10.38,8.89,14.04,17.53,27.57,2.81,12.63,4.52,12.58,6.68,18.1,9.99,39.24,20.9,17.9,16.49,10.81,14.88,5.52,5.17,5.1,22.28,14.45,17.53,2.03,7.92,3.21,14.08,30.39,32.81,18.08,5.78
6/7/2016,52.73,25.91,28.4,22.22,28.93,35.39,29.35,42.84,23.31,4.97,279.73,27.28,11.73,57.8,55.47,41.26,31.38,82.98,73.86,14.21,178.17,12.91,12.34,18.11,43.54,33.96,29.2,92.81,154.43,23.08,12.11,1.57,26.42,37.35,40.46,15.53,21.75,33.85,59.68,18.98,12.03,43.65,39.8,48.81,10.39,77.17,15.59,16.89,18.09,4.13,8.91,4.85,33.35,12.63,29.49,24.5,28.84,9.91,55.02,36.72,25.27,4.04,14.53,18.33,10.2,11.05,26.96,9.98,27.59,64.53,11.11,23.5,6.56,25.69,13.86,9.83,96.89,23.78,19.56,31.33,17.69,14.52,34.09,57.35,20.71,17.35,28.47,20.72,13.99,21.63,8.23,44.62,36.09,4.71,7.92,4.98,40.41,65.87,22.51,19.13,3.74,12.73,21.81,38.19,25.83,8.73,22.3,35.25,29.28,21.52,12.45,29.47,21.23,10.92,33.57,15.3,5.13,16.39,4.36,19.08,25.97,5.68,21.5,21.87,51.01,23.87,30.82,26.44,20.94,17.67,24.15,21.12,10.75,10.19,15.48,25.93,9.82,11.9,11.74,13.75,14.95,13.05,12.93,30.87,21.73,27.01,9.14,36.93,8.34,13.34,26.84,15.11,8.64,16.79,27.21,27.88,5.28,19.63,22.38,22.07,46.14,17.57,14.16,23.17,42.62,9.83,17.49,5.98,19.12,28.86,16.39,9.98,8.41,10.23,4.08,36.46,8.7,27,48.96,17.51,8.98,15.2,7.42,10.44,4.89,2.41,6.87,4.59,15.78,23.92,40.47,9.79,25.83,10.64,8.93,14.25,17.67,27.74,2.81,12.64,4.48,12.69,6.75,18.17,10.11,39.59,20.93,18.28,16.55,11.18,15.22,5.51,5.18,5.15,22.38,14.45,18.09,2.13,8.11,3.22,14.27,30.68,34.04,18.65,5.88
6/8/2016,53.26,26.58,28.83,22.51,29.22,36.19,29.37,43.27,23.59,5.1,285.49,27.6,11.97,59.69,56.55,41.82,32.02,84.28,75.51,14.59,181.6,12.95,12.73,18.34,44.6,34.33,29.33,94.04,159.34,23.37,12.38,1.58,26.97,37.34,41.15,16.31,21.89,34.59,60.24,19.24,12.25,44.16,40.65,49.47,10.4,78.3,15.69,17.26,18.53,4.19,9.28,4.9,33.88,12.58,30.03,24.52,28.43,10.11,56.05,37.54,26.08,4.14,14.4,18.66,10.28,11.13,27.24,10.11,27.58,65.91,11.33,23.54,6.59,25.9,14.58,9.95,98.72,24.1,19.6,31.88,18.05,14.72,34.56,58.6,20.97,17.87,29.07,20.83,14.37,22.16,8.32,45.57,36.66,4.71,8.02,5.07,40.75,66.7,22.76,19.45,3.79,12.66,21.34,38.81,26.53,8.78,22.45,35.53,29.81,21.85,12.84,29.3,21.5,11.03,34.6,15.72,5.2,16.89,4.41,19.28,26.35,5.75,22.18,21.94,50.91,23.72,30.89,26.63,20.91,17.91,24.19,21.85,11.15,10.35,15.82,26.81,9.83,12.23,11.81,13.74,15.24,12.92,13.24,31.41,22.5,27.32,9,37.92,8.17,13.28,27.41,15.56,8.75,16.97,27.77,27.66,5.29,19.74,23.06,22.48,46.48,17.42,14.27,23.49,43.03,10.14,17.73,6.13,19.13,29.58,16.62,10.11,8.59,10.23,4.14,36.94,8.63,27.28,51.71,17.73,9.13,15.47,7.6,10.41,4.98,2.42,7.07,4.71,15.96,24.42,40.88,9.71,25.97,10.77,9.17,14.31,18.05,27.5,2.83,12.52,4.43,12.8,6.77,18.41,10.2,39.14,21.16,18.09,16.52,11.24,14.87,5.48,5.17,5.13,22.78,14.63,18.66,2.13,8.16,3.23,14.81,30.85,33.56,19.22,5.81
6/9/2016,52.63,26.29,28.67,22.32,28.87,36.12,29.19,42.92,23.37,4.94,281.22,27.17,11.87,59.5,56.18,42.08,31.17,84.75,75.04,14.67,181.28,12.61,12.64,18.26,44.01,33.73,29.26,92.52,157.89,23.07,12.22,1.55,26.72,36.93,41,16.18,21.81,34.2,59.62,19.14,12.18,44.57,40.79,49.98,10.31,77.61,15.55,17.29,18.2,4.12,9.03,4.86,33.55,12.32,30.28,24.13,27.52,9.87,55.86,36.71,26.25,4.18,13.89,18.47,10.09,10.99,26.41,9.97,27.2,65.24,11.1,23.41,6.41,25.69,14.82,10.01,99.56,24.05,19.8,31.7,17.95,14.57,33.9,59.17,20.74,17.94,28.51,20.8,14.25,22.95,8.55,45.18,36.54,4.62,7.74,5.04,40.06,66.13,22.81,19.21,3.7,12.23,22.23,38.93,26.63,8.71,22.18,34.99,29.73,21.65,12.76,28.84,21.22,10.86,34.1,15.7,5.03,16.85,4.37,18.51,26.72,5.68,22.27,21.56,50.06,23.2,30.57,25.88,20.48,17.33,24.52,21.65,10.94,10.15,15.61,26.39,9.54,12.29,11.46,13.78,15.24,12.45,13.36,30.53,22.35,27.22,9.02,38.23,8.11,13.19,27.7,15.3,8.66,16.61,27.45,27.43,5.13,19.63,22.54,22.14,45.55,17.13,14.2,23.34,42.55,10.24,17.55,6.08,18.88,29.49,16.68,9.98,8.23,10.27,4.03,35.97,8.56,27.19,52.04,17.6,9.17,15.12,7.41,10.24,4.96,2.42,7.03,4.6,15.95,24.09,40.86,9.53,25.45,10.53,9.17,14,17.94,27.17,2.75,12.49,4.43,12.66,6.67,18.39,10.31,38.93,20.69,17.85,16.17,10.9,14.63,5.34,5.09,5,23.43,14.28,18.03,2.17,8.08,3.07,14.37,30.53,33.81,19.07,5.92
6/10/2016,52.64,26.05,28.04,22.07,28.54,35.69,29.18,42.59,23.42,4.94,278.89,27.04,11.9,58.58,56.35,41.41,30.63,83.84,76.32,14.66,180.3,12.5,12.51,17.98,43.04,33.41,29.04,90.45,156.49,22.71,12.1,1.53,26.37,36.57,40.58,16.28,21.91,33.98,59.08,18.98,12.08,44.6,39.98,49.59,10.17,77.44,15.24,17.23,17.84,4.07,8.89,4.8,33.52,12.11,29.74,24.01,27.22,9.85,56.41,36.57,26.15,4.04,13.78,18.29,9.86,10.54,26.38,9.82,27.02,64.89,11.17,23.33,6.49,25.4,14.67,9.84,98.87,24.13,19.23,32.51,18.01,14.36,33.32,59.31,20.84,17.72,28.53,20.6,14.05,22.79,8.27,44.01,36.43,4.61,7.6,4.97,39.64,66.2,22.36,19.26,3.66,12.16,20.97,38.54,26.38,8.66,21.88,34.33,29.14,21.52,12.9,28.44,21.59,10.72,33.86,15.9,4.91,16.89,4.3,18.06,26.75,5.63,22.05,21.19,48.92,23.2,29.04,25.77,20.35,16.93,24.51,20.72,10.92,10.04,15.13,26.85,9.36,12.17,11.27,13.29,14.82,12.24,13.28,29.84,21.8,26.72,8.7,38.21,8.17,13.01,27.07,14.88,8.51,16.46,26.96,26.66,5.14,19.41,21.89,21.91,45.87,17.32,14.02,22.96,42.37,10.2,17.39,5.97,18.52,29.42,16.44,9.83,8.15,10.16,3.99,35.12,8.47,26.99,52.1,17.62,9.06,14.78,7.24,10.2,4.85,2.41,7.1,4.42,16.06,23.81,41.06,9.37,24.88,10.5,9.08,13.83,17.77,26.88,2.67,12.72,4.37,12.59,6.62,18.13,9.97,39.05,20.31,17.77,16,11.18,14.45,5.33,5.02,4.93,22.92,14.12,17.77,2.14,7.86,3.03,14.22,29.75,32.74,19.36,5.71
6/13/2016,51.06,25.3,26.87,21.3,27.56,34.99,28.16,41.85,22.74,4.75,273.32,26.11,11.77,56.96,56.44,39.97,29.67,81.33,72.9,14.37,174.69,12.06,12.1,17.22,41.88,32.4,28.55,89.13,151.97,21.46,11.85,1.49,26.34,35.36,39.5,15.8,21.26,33.32,57.19,18.52,11.6,43.87,38.29,47.89,9.85,74.88,14.85,16.76,17.36,3.9,8.52,4.69,33.22,11.62,28.8,23.26,26.17,9.49,54.34,35.3,25.47,3.91,13.4,17.89,9.6,10.15,25.82,9.51,25.96,62.88,10.65,22.87,6.32,24.72,14.27,9.53,97.83,23.14,18.4,32.59,17.34,13.96,32.15,57.57,20.22,17.27,27.99,20,13.83,21.98,7.84,43.13,35.75,4.47,7.21,4.73,37.92,63.46,21.84,18.42,3.59,11.5,20.07,37.67,25.73,8.41,21.21,33.54,28.36,21.02,12.44,27.47,20.64,10.49,33.3,15.14,4.76,16.3,4.2,17.44,26.43,5.47,21.45,20.41,47.32,22.39,28.22,24.93,19.71,16.51,23.61,19.9,10.53,9.53,14.58,25.87,9.19,11.99,10.86,12.6,14.13,11.79,13.02,28.5,21.45,25.91,8.18,37.35,7.84,12.62,26.47,14.35,8.33,15.56,26.06,25.68,4.97,18.11,21.26,20.98,45.02,17.01,13.59,22.15,41.2,9.99,16.78,5.8,18.06,28.83,16.11,9.44,7.76,9.86,3.86,34.05,8.39,26.39,49.81,17.23,8.8,14.39,7.01,9.97,4.73,2.32,6.56,4.26,15.8,22.81,40.17,9.03,24.18,10.03,8.82,13.4,17.03,26.36,2.58,12.37,4.16,11.97,6.26,17.67,9.65,38.24,19.66,17.03,15.42,10.79,13.87,5.17,4.8,4.8,22.25,13.55,17.59,2.09,7.43,2.9,13.64,28.31,31.32,18.63,5.46
6/14/2016,50.92,25.65,26.66,21.5,27.77,34.65,28.29,41.55,22.33,4.66,267.47,25.84,11.99,56.65,56.05,38.82,29.17,81.44,72.95,14.36,174.14,12,12.15,17.05,41.67,32.08,28.33,89.51,151.62,21.49,11.8,1.48,26.24,34.48,39.23,15.74,21.29,33.14,56.55,18.45,11.62,43.42,37.68,47.51,9.52,74.3,14.57,16.6,17.38,3.84,8.45,4.6,33.08,11.61,28.53,23.11,25.97,9.48,53.89,34.71,25.65,3.9,13.35,17.54,9.52,10.04,25.77,9.6,25.76,62.58,10.61,22.8,6.32,24.3,14.36,9.69,97.24,22.85,18.56,32.76,17.23,13.77,32.04,56.55,20.33,17.15,27.82,19.98,13.78,21.94,7.8,43.1,35.59,4.49,7.11,4.7,38.03,63.64,21.75,18.59,3.54,11.4,19.92,38.28,25.73,8.42,21.41,33.85,28.25,20.79,12.31,27.43,20.87,10.54,33.33,14.98,4.72,16.21,4.15,17.38,25.92,5.43,21.12,20.53,47.16,21.71,27.9,25.02,19.59,16.29,23.7,19.68,10.47,9.46,14.61,25.96,9.19,11.9,10.93,12.55,13.97,11.66,13.14,28.61,21.81,25.64,8.31,37.15,7.74,12.75,26.34,13.88,8.25,15.35,26.1,25.77,4.85,17.84,20.96,20.82,45.05,16.92,13.45,21.95,41.35,9.97,16.9,5.68,17.65,28.75,16.08,9.31,7.73,9.94,3.84,34.04,8.27,26.25,49.75,16.48,8.81,14.26,6.95,9.82,4.7,2.36,6.35,4.25,15.62,22.75,40.41,9.03,23.79,9.95,8.81,13.39,16.81,26.3,2.58,12.08,4.17,11.8,6.24,17.65,9.71,38.19,19.62,17.09,15.3,10.74,13.43,5.14,4.79,4.81,21.76,13.69,17.65,2.09,7.36,2.89,13.5,28.04,31.53,18.22,5.48
6/15/2016,51.61,25.36,26.79,21.43,28.11,34.63,27.98,41.82,22.72,4.65,266.95,26.19,11.89,56.77,55.95,39.39,29.48,80.76,73.55,14.5,174.03,12.19,12.03,16.9,41.76,32.91,28.48,88.92,151.83,21.82,11.97,1.49,26.1,34.61,39.33,15.68,21,33.38,56.89,18.53,11.56,43.81,38.27,48.47,9.55,74.01,14.63,16.5,17.56,3.87,8.62,4.58,32.74,11.62,28.35,23.46,26.6,9.6,54.48,35.63,26.09,3.88,13.41,17.7,9.52,10.05,26.38,9.51,25.96,61.98,10.75,23,6.4,24.37,14.2,9.15,96.18,23.05,18.65,33.4,17.25,13.95,32.98,58.29,19.98,17.06,27.82,20.24,13.7,21.97,7.8,43.13,35.52,4.46,7.34,4.71,38.39,64.84,21.67,18.49,3.57,11.42,19.78,37.6,25.65,8.46,21.21,34.25,28.58,20.94,12.58,27.87,21.45,10.6,33.63,15.05,4.78,16.02,4.2,17.41,26.36,5.44,21.7,20.55,47.1,21.64,27.92,25.37,20.03,16.49,23.62,19.46,10.36,9.71,14.8,26.26,9.38,12.23,11.1,12.63,13.94,11.68,12.96,28.91,21.73,25.64,8.22,37.65,7.81,12.72,26.39,13.92,8.37,15.72,26.38,25.7,4.96,18,21.26,21.12,45.76,17.14,13.68,22.2,41.66,10.01,16.85,5.74,17.76,28.82,15.95,9.39,7.78,9.84,3.85,34.48,8.34,26.36,49.88,16.76,8.7,14.64,7.05,9.83,4.74,2.31,6.5,4.31,15.67,22.72,40.34,9.14,24,10.23,8.72,13.6,17.05,26.34,2.62,12.33,4.14,12,6.29,17.72,9.9,38.12,19.55,17.1,15.48,10.92,13.69,5.21,4.79,4.88,21.73,13.7,17.48,2.07,7.37,2.92,13.6,27.78,30.42,18.05,5.57
6/16/2016,50.81,25.29,26.9,21.39,27.7,34.25,27.95,41.08,22.39,4.67,262.28,25.95,11.85,56.5,55.77,39.22,29.58,79.43,73.04,14.34,173.47,12.09,11.91,16.72,41.32,32.4,28.68,88.67,151.78,21.42,11.82,1.5,25.84,34.26,38.69,15.73,20.69,32.95,54.91,18.16,11.53,43.52,37.5,47.55,9.45,73.56,14.69,16.31,17.15,3.81,8.44,4.57,32.5,11.42,28,22.8,26.3,9.36,53.54,34.43,26.05,3.87,12.97,17.33,9.44,9.98,26.56,9.52,25.02,61.96,10.56,23.07,6.29,24.33,14.17,9.15,96.7,23,18.35,33.63,17.1,13.49,33.16,56.48,20.28,16.97,27.72,20.11,13.54,21.73,7.68,43.06,34.88,4.41,7.15,4.61,37.65,61.27,21.67,18.55,3.64,11.43,19.59,37.72,25.64,8.44,20.97,33.77,28.37,20.83,12.42,27.57,20.46,10.4,33.67,14.66,4.75,15.91,4.12,16.97,25.88,5.4,21.36,19.96,46.62,21.55,27.37,24.73,19.77,16.5,23.76,19.15,10.24,9.56,14.5,24.92,9.23,11.88,10.79,12.37,13.78,11.32,12.93,28.19,21.55,25.42,8.18,37.81,7.61,12.48,26,13.78,8.3,15.32,25.94,25.11,4.95,17.66,20.88,20.5,45.01,17.18,13.55,21.6,41.66,9.74,17.06,5.58,17.51,28.4,15.79,9.21,7.57,9.84,3.85,33.92,8.46,26.31,48.59,16.51,8.61,14.82,6.98,9.81,4.66,2.28,6.19,4.21,15.55,22.08,40.12,9.01,23.38,9.76,8.72,13.51,16.84,26.16,2.49,11.79,4.13,11.61,6.12,17.65,9.58,37.48,19.39,16.45,15.54,10.69,12.94,5.15,4.67,4.86,22.23,13.66,17.22,2.08,7.12,2.81,13.37,27.42,30.5,17.99,5.29
6/17/2016,51.98,24.95,26.74,21.08,27.8,34.19,28.81,41.4,22.54,4.69,264.18,25.99,11.91,57.27,55.31,39.21,29.78,80.24,74.6,14.41,169.25,12.11,11.92,16.79,41.38,33.02,28.98,87.59,152.18,21.91,12.08,1.52,25.41,34.94,38.88,15.51,20.76,33.06,55.47,17.85,11.46,44.07,38.37,48.32,9.55,73.98,14.53,16.12,17.45,3.82,8.61,4.53,32,11.42,27.9,22.55,26.72,9.44,53.35,35.24,26.49,3.87,13.15,17.33,9.49,9.97,26.95,9.66,24.8,60.56,10.8,23.42,6.51,23.95,14.3,9.26,94.84,23.59,18.49,34.33,17.03,13.62,33.01,57.25,20.46,16.59,27.93,20.37,13.64,21.45,7.8,43.1,35,4.41,7.22,4.7,38.4,62.96,21.52,18.7,3.74,11.63,19.66,37.97,25.51,8.54,21.05,34.76,28.55,20.58,12.54,28.05,20.86,10.63,34.04,15.05,4.83,15.98,4.17,17.07,25.94,5.45,21.48,20.09,47.42,21.96,27.95,25.22,20.23,16.73,23.59,19.08,10.01,9.9,14.6,25.41,9.36,11.98,10.87,12.63,13.88,11.79,12.89,29.25,21.58,25.01,8.34,37.06,7.65,12.64,26.19,13.58,8.43,15.52,26.1,25.79,5.25,17.74,21.19,20.36,45.13,17.57,13.53,21.82,41.62,9.87,17.16,5.43,17.36,28.86,15.66,9.37,7.78,9.91,3.83,35.48,8.65,25.65,48.62,16.78,8.58,15.25,7.11,10.26,4.38,2.31,6.49,4.29,15.68,22.49,40.08,9,23.49,9.71,8.78,13.54,16.92,26.06,2.6,12.56,4.15,11.36,6.09,17.49,9.93,38.55,19.35,16.4,16,10.74,12.97,5.23,4.67,5.21,22.87,14,17.84,2.1,7.38,2.9,13.81,27.23,30.59,18.32,5.47
6/20/2016,53.33,25.47,27.59,21.3,28.61,33.95,29.06,42.57,22.86,4.79,271.96,26.31,12.07,58.29,55.75,40.19,30.5,82.65,75.77,14.81,173.12,12.36,12.17,17.24,41.93,33.51,29.13,88.95,154.63,22.55,12.62,1.54,25.34,35.4,39.68,15.83,21.12,33.44,56.23,18.32,11.78,44.68,39.86,48.82,9.67,74.88,14.75,16.31,18.17,3.95,8.86,4.53,32.13,11.75,28.55,23.52,27.17,9.68,54.31,36.64,26.24,3.93,13.74,17.25,9.65,10.15,26.95,9.94,25.5,61.11,11.21,24.04,6.65,24.32,14.35,9.58,96.45,23.85,19.41,35.25,17.21,13.78,34.15,59.96,20.9,16.84,28.49,20.86,13.82,22.3,8.18,43.82,35.29,4.56,7.47,4.83,39.83,64.94,21.76,18.95,3.8,11.8,20.41,38.84,25.81,8.69,21.61,35.2,29.74,21.35,13.15,28.73,21.38,11.01,34.67,15.3,4.92,16.4,4.19,17.41,27.01,5.61,21.73,21.02,49.71,22.6,28.78,26.72,20.78,17.77,24.23,19.35,10.33,10.31,14.98,26.72,9.8,12.39,11.49,13.18,14.1,12.18,13.12,30.17,22.89,25.59,8.81,37.64,7.87,12.86,26.71,13.85,8.56,16.12,26.93,26.53,5.06,18.29,22.7,21.41,45.67,17.62,13.69,22.32,42.91,10.18,17.84,5.49,18.2,29.59,15.83,9.63,7.93,10.21,3.97,36.63,8.95,26.05,52.44,17.43,8.73,15.42,7.24,10.34,4.51,2.36,6.77,4.4,15.7,23.03,40.9,9.14,24.04,9.99,8.92,14.19,17.19,26.51,2.65,13.84,4.23,11.86,6.25,17.64,10.44,39.8,19.88,16.86,16.54,11.22,12.99,5.33,4.88,4.98,23.47,14.65,18.68,2.19,7.76,3.02,14.17,27.68,30.94,18.68,5.46
